genre,artist_name,track_name,popularity,danceability,energy,tempo,valence,categoria_popularidade
R&B,Demi Lovato,You Don't Do It For Me Anymore,66,0.583,0.435,128.035,0.129,Muito Popular
R&B,Nao,If You Ever (feat. 6LACK),65,0.488,0.62,111.996,0.378,Muito Popular
R&B,Adrian Marcel,2AM.,61,0.849,0.521,102.011,0.613,Popular
R&B,Mario,How Do I Breathe,67,0.684,0.455,97.956,0.487,Muito Popular
R&B,Jagged Edge,Where the Party At,70,0.596,0.661,129.491,0.86,Muito Popular
R&B,T-Pain,1UP (feat. Profit Dinero),56,0.705,0.584,71.666,0.35,Popular
R&B,Ari Lennox,40 Shades of Choke,62,0.733,0.508,104.62,0.867,Popular
R&B,Big Sean,Go Legend (& Metro Boomin),67,0.656,0.564,150.014,0.25,Muito Popular
R&B,bLAck pARty,Bloom,61,0.749,0.399,89.972,0.816,Popular
R&B,GoldLink,Got Friends,67,0.691,0.75,143.744,0.345,Muito Popular
R&B,Raveena,If Only,63,0.759,0.404,77.984,0.581,Popular
R&B,Trevor Daniel,Falling (blackbear Remix),63,0.803,0.485,127.01,0.422,Popular
R&B,Tinashe,Like I Used To,66,0.717,0.599,159.78,0.385,Muito Popular
R&B,Peter CottonTale,Forever Always,61,0.362,0.443,54.924,0.415,Popular
R&B,DaniLeigh,Lil Bebe,62,0.835,0.511,136.021,0.0792,Popular
R&B,Ty Dolla $ign,Paranoid (feat. B.o.B),63,0.858,0.398,97.476,0.258,Popular
R&B,James Blake,Are You In Love?,65,0.557,0.278,147.681,0.335,Muito Popular
R&B,Dreezy,Ecstasy (feat. Jeremih),65,0.889,0.451,104.043,0.635,Muito Popular
R&B,Snoh Aalegra,I Want You Around,61,0.705,0.513,168.056,0.649,Popular
R&B,Zara Larsson,Ain't My Fault,74,0.576,0.782,141.153,0.355,Muito Popular
R&B,Beyoncé,Countdown,66,0.665,0.787,167.349,0.699,Muito Popular
R&B,Jarreau Vandal,Someone That You Love,64,0.737,0.429,105.059,0.44,Popular
R&B,Alina Baraz,Unfold,61,0.63,0.501,111.932,0.192,Popular
R&B,The Carters,NICE,60,0.912,0.533,119.922,0.208,Popular
R&B,Trey Songz,Neighbors Know My Name,63,0.663,0.693,120.026,0.391,Popular
R&B,T-Pain,U Up,55,0.647,0.484,85.366,0.154,Popular
R&B,BJ The Chicago Kid,Roses,64,0.655,0.597,110.01,0.219,Popular
R&B,SZA,Prom,64,0.805,0.702,120.041,0.225,Popular
R&B,James Blake,Power On,65,0.649,0.468,92.489,0.618,Muito Popular
R&B,Sabrina Claudio,Orion's Belt,61,0.531,0.352,84.475,0.537,Popular
R&B,H.E.R.,Say It Again,61,0.324,0.493,86.126,0.212,Popular
R&B,T-Pain,All I Want (feat. Flipp Dinero),55,0.514,0.613,111.913,0.439,Popular
R&B,Daniel Caesar,Violet,62,0.688,0.425,129.975,0.179,Popular
R&B,The Weeknd,Nothing Without You,67,0.599,0.635,109.919,0.194,Muito Popular
R&B,Sevyn Streeter,"Anything U Want (feat. Wiz Khalifa, Jeremih & Ty Dolla $ign)",65,0.684,0.526,91.812,0.495,Muito Popular
R&B,Orion Sun,Antidote,60,0.506,0.807,163.239,0.394,Popular
R&B,John Legend,Love Me Now,68,0.488,0.762,123.889,0.709,Muito Popular
R&B,Beyoncé,Dance for You,66,0.616,0.78,110.005,0.471,Muito Popular
R&B,Demi Lovato,Give Your Heart a Break,66,0.643,0.695,123.026,0.65,Muito Popular
R&B,Labrinth,Beneath Your Beautiful,60,0.558,0.522,83.977,0.228,Popular
R&B,Yo Trane,High off You,62,0.631,0.319,80.048,0.345,Popular
R&B,Twista,Overnight Celebrity,67,0.828,0.792,134.199,0.777,Muito Popular
R&B,Fifth Harmony,That's My Girl,71,0.596,0.851,202.049,0.612,Muito Popular
R&B,Ravyn Lenae,Sticky,62,0.712,0.846,120.016,0.573,Popular
R&B,Mario,Just a Friend 2002 - Radio Edit,64,0.538,0.677,132.346,0.913,Popular
R&B,Monica,So Gone,63,0.618,0.552,81.975,0.586,Popular
R&B,Ne-Yo,Sexy Love,68,0.622,0.503,93.984,0.58,Muito Popular
R&B,Mariah Carey,Caution,65,0.71,0.572,140.052,0.642,Muito Popular
R&B,Mario,Drowning,66,0.516,0.484,113.134,0.174,Muito Popular
R&B,August Alsina,Kissin' On My Tattoos,63,0.577,0.625,120.133,0.184,Popular
R&B,T-Pain,It's My Dog Birthday,53,0.604,0.577,120.033,0.315,Popular
R&B,Doja Cat,Go To Town,64,0.71,0.71,169.944,0.7,Popular
R&B,Arin Ray,Reckless,61,0.686,0.701,173.994,0.605,Popular
R&B,Usher,Confessions Part II - Confessions Special Edition Version,68,0.845,0.467,138.007,0.702,Muito Popular
R&B,HONNE,Day 1 ◑,67,0.503,0.581,94.555,0.633,Muito Popular
R&B,Madison Beer,Fools,68,0.743,0.793,120.897,0.851,Muito Popular
R&B,Bryson Tiller,Overtime,64,0.657,0.497,106.049,0.594,Popular
R&B,Ellie Goulding,On My Mind,63,0.702,0.705,154.911,0.743,Popular
R&B,Summer Walker,Wasted,60,0.714,0.348,117.312,0.205,Popular
R&B,Ama Lou,Tried Up,62,0.688,0.261,146.975,0.326,Popular
R&B,Charli XCX,Boys,72,0.867,0.545,139.943,0.525,Muito Popular
R&B,Ella Mai,Own It,61,0.527,0.543,106.706,0.397,Popular
R&B,Annmarie,Handle It,60,0.649,0.646,117.953,0.528,Popular
R&B,Jason Derulo,It Girl,71,0.668,0.718,91.993,0.345,Muito Popular
R&B,James Blake,Assume Form,65,0.413,0.349,139.274,0.148,Muito Popular
R&B,T-Pain,Keep This from Me,53,0.51,0.626,80.795,0.516,Popular
R&B,Chris Brown,Grass Ain't Greener,67,0.644,0.601,133.946,0.518,Muito Popular
R&B,Ty Dolla $ign,Ex (feat. YG),66,0.77,0.426,102.056,0.523,Muito Popular
R&B,Jorja Smith,Teenage Fantasy,68,0.583,0.677,176.119,0.495,Muito Popular
R&B,The Weeknd,All I Know,66,0.469,0.417,120.012,0.175,Muito Popular
R&B,Tobi Lou,Buff Baby,62,0.736,0.643,156.002,0.599,Popular
R&B,Frank Ocean,Bad Religion,61,0.276,0.358,81.977,0.13,Popular
R&B,Chris Brown,Back To Sleep,66,0.647,0.646,92.981,0.721,Muito Popular
Alternative,Joji,Sanctuary,83,0.552,0.65,167.788,0.316,Hit Mundial
Alternative,Joji,SLOW DANCING IN THE DARK,81,0.515,0.479,88.964,0.284,Hit Mundial
Alternative,Joji,YEAH RIGHT,76,0.672,0.588,169.033,0.204,Muito Popular
Alternative,Oliver Tree,Alien Boy,73,0.803,0.599,130.107,0.484,Muito Popular
Alternative,Joji,CAN'T GET OVER YOU (feat. Clams Casino),74,0.9,0.316,129.914,0.844,Muito Popular
Alternative,88-Keys,That's Life (feat. Mac Miller & Sia),73,0.525,0.774,154.192,0.526,Muito Popular
Alternative,Smash Mouth,All Star,78,0.731,0.861,104.034,0.78,Muito Popular
Alternative,Jhene Aiko,Triggered (freestyle),73,0.471,0.411,89.484,0.363,Muito Popular
Alternative,Gorillaz,Feel Good Inc.,77,0.818,0.705,138.559,0.772,Muito Popular
Alternative,Nirvana,Smells Like Teen Spirit,72,0.516,0.906,116.775,0.728,Muito Popular
Alternative,Oliver Tree,Hurt,71,0.561,0.782,94.004,0.486,Muito Popular
Alternative,Red Hot Chili Peppers,Under the Bridge,78,0.559,0.345,84.581,0.458,Muito Popular
Alternative,Grouplove,Tongue Tied,76,0.56,0.936,112.96,0.371,Muito Popular
Alternative,Oliver Tree,Miracle Man,71,0.677,0.46,139.982,0.677,Muito Popular
Alternative,Summer Walker,Girls Need Love (with Drake) - Remix,75,0.656,0.432,97.022,0.0897,Muito Popular
Alternative,Joji,TEST DRIVE,72,0.646,0.648,75.004,0.466,Muito Popular
Alternative,The Neighbourhood,Sweater Weather,75,0.612,0.807,124.053,0.398,Muito Popular
Country,M. Ward,Chinese Translation,54,0.555,0.726,107.719,0.505,Popular
Country,Ryan Adams,When The Stars Go Blue,52,0.587,0.201,90.018,0.3,Popular
Country,Linda Ronstadt,Don't Know Much (with Aaron Neville),58,0.401,0.285,130.465,0.267,Popular
Country,The Reklaws,Long Live The Night,51,0.547,0.779,126.97,0.361,Popular
Country,America,I Need You,58,0.528,0.472,134.099,0.251,Popular
Country,Anne Murray,Could I Have This Dance,55,0.483,0.341,87.31,0.618,Popular
Country,Andrew Hyatt,My Kind Of Crazy,53,0.522,0.55,79.995,0.676,Popular
